"dt","geocodeisp","geocodeasns","count","pct_25_norm","pct_50_norm","pct_75_norm"
"2018-05-22","AT&T Services, Inc.","[7018]","70","-18.099999986588955","9.099999996367842","39.39999998692656"
"2018-05-23","AT&T Services, Inc.","[7018, 14267]","468","-24.10000012605451","4.399999859291711","20.19999985350296"
"2018-05-24","AT&T Services, Inc.","[7018]","905","-14.900000083798659","2.2999999164312612","19.699999914504588"
"2018-05-25","AT&T Services, Inc.","[7018]","525","-17.899999860674143","4.300000029616058","29.199999986216426"
"2018-05-26","AT&T Services, Inc.","[7018]","283","-14.100000087637454","2.6999999112449586","27.29999991133809"
"2018-05-27","AT&T Services, Inc.","[7018]","253","-13.000000035390258","4.000000073574483","42.80000006221232"
"2018-05-28","AT&T Services, Inc.","[7018]","262","-21.999999997613486","9.599999997590203","35.89999999344582"
"2018-05-29","AT&T Services, Inc.","[7018]","545","-7.499999986728881","8.299999977927428","25.999999999999773"
"2018-05-30","AT&T Services, Inc.","[21986, 7018]","824","-21.699999995689723","2.6000000016210834","24.70000000175787"
"2018-05-31","AT&T Services, Inc.","[7018]","666","-13.400000054389238","7.599999997182749","27.09999999797219"
"2018-06-01","AT&T Services, Inc.","[7018]","568","-14.40000000002874","9.899999999799547","34.600000074477066"
"2018-06-02","AT&T Services, Inc.","[7018]","279","-19.400000005494803","17.29999999748543","54.09999999392312"
"2018-06-03","AT&T Services, Inc.","[7018]","263","-21.500000009837095","6.79999998945641","35.69999993580859"
"2018-06-04","AT&T Services, Inc.","[12240, 7018]","542","-9.200000007695053","7.899999989604112","19.89999999984866"
"2018-06-05","AT&T Services, Inc.","[7018]","657","-20.52500000257278","6.299999997281702","23.12499999742724"
"2018-06-06","AT&T Services, Inc.","[7018]","451","-17.499999990832293","8.300000001327135","26.299999703041976"
"2018-06-07","AT&T Services, Inc.","[7018]","309","-19.500000326894224","3.099999642421608","27.999999659135938"
"2018-05-22","Allied Telecom Group, LLC","[22925]","15","-25.90000000782311","-18.700000015087426","-17.40000001518638"
"2018-05-23","Allied Telecom Group, LLC","[22925]","83","-20.000000135041773","-8.30000013957033","48.49999985890463"
"2018-05-24","Allied Telecom Group, LLC","[22925]","41","-18.900000082794577","-16.70000008380157","-9.500000083818804"
"2018-05-25","Allied Telecom Group, LLC","[22925]","14","-18.00000001094304","-11.100000003352761","-4.500000039115548"
"2018-05-26","Allied Telecom Group, LLC","[22925]","2","-14.700000057928264","-14.700000057928264","-14.700000057928264"
"2018-05-29","Allied Telecom Group, LLC","[22925]","45","-24.999999973923195","-15.699999939650525","-9.499999994412292"
"2018-05-30","Allied Telecom Group, LLC","[22925]","15","-22.499999997307896","-2.699999937249231","7.500000001414264"
"2018-05-31","Allied Telecom Group, LLC","[22925]","14","3.899999981513247","10.59999999415595","54.799999998067506"
"2018-06-01","Allied Telecom Group, LLC","[22925]","8","-3.2000000000493856","0.1999999951749487","25.600000008353163"
"2018-06-04","Allied Telecom Group, LLC","[22925]","23","-24.000000001251465","-11.100000000151311","44.30000000138534"
"2018-06-05","Allied Telecom Group, LLC","[22925]","35","-20.799999918381218","-18.900000002759043","18.799999983457383"
"2018-06-06","Allied Telecom Group, LLC","[22925]","8","-24.900000022171298","-21.40000000144937","-5.000000095606083"
"2018-06-07","Allied Telecom Group, LLC","[22925]","53","-19.200000356300734","-16.400000354275107","-7.600000356484088"
"2018-05-22","Charter Communications","[20115, 33588]","163","40.800000133458525","55.59999999240972","86.1000000149943"
"2018-05-23","Charter Communications","[20115, 33588]","749","43.29999985918403","70.19999984186143","119.8999998596264"
"2018-05-24","Charter Communications","[33588, 20115]","233","4.499999922700226","43.09999991580844","59.69999991611985"
"2018-05-25","Charter Communications","[33588, 20115]","391","37.1999999624677","61.199999986216426","80.39999997708946"
"2018-05-26","Charter Communications","[33588, 20115]","213","-20.70000008866191","18.299999911337977","55.19999991520308"
"2018-05-27","Charter Communications","[33588, 20115]","129","9.700000082375482","38.30000005837064","59.000000124797225"
"2018-05-28","Charter Communications","[20115, 33588]","167","-8.999999997613486","41.00000000471482","60.499999999592546"
"2018-05-29","Charter Communications","[33588, 20115]","340","22.900000031105947","52.19999995827652","79.30000000012274"
"2018-05-30","Charter Communications","[20115, 33588]","426","2.0000000004074536","41.499999950247","60.600000001386434"
"2018-05-31","Charter Communications","[20115, 33588]","349","-13.000000001862645","33.700000029057264","51.39999999664724"
"2018-06-01","Charter Communications","[20115, 33588]","584","8.400000006304253","43.899999771610965","70.40000004076319"
"2018-06-02","Charter Communications","[20115, 33588]","245","-5.200000014156103","34.299999999348074","67.5999999945052"
"2018-06-03","Charter Communications","[20115, 33588]","169","-11.20000001054359","17.034999989452444","55.899999953689985"
"2018-06-04","Charter Communications","[33588, 20115]","532","9.2999998232699","46.300000067276414","75.39999999426072"
"2018-06-05","Charter Communications","[33588, 20115]","540","-3.0000000042491592","29.300000074726995","58.900000200083014"
"2018-06-06","Charter Communications","[20115, 33588]","507","6.49999998495332","44.50000000105092","60.90000000040163"
"2018-06-07","Charter Communications","[33588, 20115]","381","-10.500000357627869","31.499999767169356","53.299999642098555"
"2018-05-22","Cogent Communications","[174]","23","-6.2000000034458935","-1.8000000272877514","2.900000021327287"
"2018-05-23","Cogent Communications","[174]","56","-25.900000142428325","-21.10000012908131","1.4999998602434061"
"2018-05-24","Cogent Communications","[174]","88","-16.899999929592013","3.6999999042600393","16.899999916859088"
"2018-05-25","Cogent Communications","[174]","92","3.8999998942017555","12.199999986260082","40.19999998854473"
"2018-05-26","Cogent Communications","[174]","21","-16.70000008866191","4.799999762326479","13.900000143796206"
"2018-05-27","Cogent Communications","[174]","5","13.400000294670463","15.200000053271651","15.399999668821692"
