"dt","geocodeisp","geocodeasns","count","pct_25_norm","pct_50_norm","pct_75_norm"
"2018-05-22","AT&T Services, Inc.","[7018]","156","-34.700000018347055","4.29999999323627","63.69999999878928"
"2018-05-23","AT&T Services, Inc.","[7018, 14267]","636","-32.00000002098386","0.7000000732659828","47.69999997733976"
"2018-05-24","AT&T Services, Inc.","[7018]","1172","-36.400000215508044","-13.200000048615038","42.000000015832484"
"2018-05-25","AT&T Services, Inc.","[7018]","720","-33.499999998639396","-10.199999997807026","38.89999998773419"
"2018-05-26","AT&T Services, Inc.","[7018]","445","-33.599999998288695","23.999999921768904","69.0"
"2018-05-27","AT&T Services, Inc.","[7018]","312","-42.29999998211861","7.0","53.0"
"2018-05-28","AT&T Services, Inc.","[7018]","358","-30.899999948684126","13.000000059604645","50.50000005975926"
"2018-05-29","AT&T Services, Inc.","[7018]","723","-34.09999955329113","7.600000157253817","95.30000001177541"
"2018-05-30","AT&T Services, Inc.","[7018, 46880, 21986]","1076","-43.999999962748916","-2.000000000001819","70.3000000019656"
"2018-05-31","AT&T Services, Inc.","[7018]","888","-36.40000004088506","-5.800000042654574","60.29999997653067"
"2018-06-01","AT&T Services, Inc.","[7018]","820","-29.799999960232526","5.400000081863254","57.70000004908252"
"2018-06-02","AT&T Services, Inc.","[7018]","348","-21.7999999949825","28.30000000540167","91.20000000542495"
"2018-06-03","AT&T Services, Inc.","[7018]","364","-5.6843418860808015E-14","27.999999999996305","90.99999999999812"
"2018-06-04","AT&T Services, Inc.","[7018, 12240]","808","-40.60000006016344","-15.699999867007136","55.49999999254942"
"2018-06-05","AT&T Services, Inc.","[7018]","1124","-44.444999996998376","-16.30000000295695","34.10000000303626"
"2018-06-06","AT&T Services, Inc.","[7018]","830","-32.40000001096632","7.999999994808604","72.99999997485429"
"2018-06-07","AT&T Services, Inc.","[7018]","626","-32.500000146683306","5.599999974947423","71.39999996451661"
"2018-05-22","Allied Telecom Group, LLC","[22925]","59","-17.50000000538421","-10.5000000075961","1.2999999744351953"
"2018-05-23","Allied Telecom Group, LLC","[22925]","353","-47.200000004522735","-41.80000000286964","-31.40000000348664"
"2018-05-24","Allied Telecom Group, LLC","[22925]","81","-43.800000043120235","-21.900000021560118","-4.100000005564652"
"2018-05-25","Allied Telecom Group, LLC","[22925]","62","-47.10000002251036","-43.99999999168358","-37.20000001794688"
"2018-05-26","Allied Telecom Group, LLC","[22925]","2","-11.000000052619725","-9.000000015832484","-9.000000015832484"
"2018-05-29","Allied Telecom Group, LLC","[22925]","173","-52.599999791709706","-48.800000193296","-37.79999978723936"
"2018-05-30","Allied Telecom Group, LLC","[22925]","53","-64.70000001462358","-58.89999997196901","-48.20000004582289"
"2018-05-31","Allied Telecom Group, LLC","[22925]","83","-52.700000058393925","-47.40000003948808","-12.099999992642552"
"2018-06-01","Allied Telecom Group, LLC","[22925]","42","-55.3999999538064","-53.099999960977584","-40.79999995883554"
"2018-06-04","Allied Telecom Group, LLC","[22925]","48","-43.400000000343425","-16.69999999999709","55.899999999513966"
"2018-06-05","Allied Telecom Group, LLC","[22925]","61","-51.500000001396984","-37.400000015622936","-19.99999999679858"
"2018-06-06","Allied Telecom Group, LLC","[22925]","10","-45.999999972991645","-23.599999956786633","-14.500000048428774"
"2018-06-07","Allied Telecom Group, LLC","[22925]","211","-51.70000004818576","-47.30000004747126","-39.30000004766043"
"2018-05-22","Charter Communications","[20115, 33588]","185","64.79999999282882","103.09999997820705","145.79999999841675"
"2018-05-23","Charter Communications","[20115, 33588]","882","40.199999795731856","72.9999999566644","124.59999996281113"
"2018-05-24","Charter Communications","[33588, 20115]","298","24.99999999326974","79.10000000265427","143.69999999325955"
"2018-05-25","Charter Communications","[33588, 20115]","434","40.79999999998836","87.39999999988868","146.60000001003937"
"2018-05-26","Charter Communications","[33588, 20115]","279","7.0","73.0","158.17500000000018"
"2018-05-27","Charter Communications","[20115, 33588]","184","-8.999999997438863","39.0","98.60000002384186"
"2018-05-28","Charter Communications","[33588, 20115]","204","-0.6999999403487891","83.00000005960646","128.00000005960646"
"2018-05-29","Charter Communications","[33588, 20115]","387","33.700000058161095","91.89999991212972","135.00000005331822"
"2018-05-30","Charter Communications","[20115, 33588]","523","22.80000000865948","61.99999999336251","109.99999990127799"
"2018-05-31","Charter Communications","[20115, 33588]","428","20.699999993667006","70.29999997653067","113.19999990519136"
"2018-06-01","Charter Communications","[20115, 33588]","771","23.9000000510714","77.40000003832392","142.50000004540198"
"2018-06-02","Charter Communications","[33588, 20115]","334","-12.799999994691461","52.10000001534354","117.19999980414286"
"2018-06-03","Charter Communications","[33588, 20115]","230","-14.999999999985505","13.00000000000017","77.00000001583243"
"2018-06-04","Charter Communications","[20115, 33588]","718","5.900000000241562","46.800000132992864","91.60000004898757"
"2018-06-05","Charter Communications","[33588, 20115]","686","11.700000002747402","47.70000001008157","112.50000000291038"
"2018-06-06","Charter Communications","[20115, 33588]","608","32.69999999611173","75.59999999440947","131.19999994523823"
"2018-06-07","Charter Communications","[33588, 20115]","488","-2.400000047404319","39.99999995721737","91.59999995259568"
"2018-05-22","Cogent Communications","[174]","24","-48.30000002402812","-45.999999972991645","-38.00000000046566"
"2018-05-23","Cogent Communications","[174]","91","-47.69999999416177","-14.700000003358582","7.39999998404528"
"2018-05-24","Cogent Communications","[174]","106","-43.77000000688713","-28.90000000843429","-2.700000004551839"
"2018-05-25","Cogent Communications","[174]","101","-40.69999999865104","-24.699999977201514","40.70000039337174"
"2018-05-26","Cogent Communications","[174]","21","59.0","66.6999995559454","73.00000002980232"
"2018-05-27","Cogent Communications","[174]","5","68.90000066161156","72.00000002980232","75.30000002682209"
"2018-05-28","Cogent Communications","[174]","6","66.69999961555004","72.00000005960464","78.9999991953373"
"2018-05-29","Cogent Communications","[174]","101","-53.900000028079376","-35.70000009494834","8.900000011578868"
"2018-05-30","Cogent Communications","[174]","126","-58.00000000000182","-44.900000000039654","-13.100000008476854"
"2018-05-31","Cogent Communications","[174]","136","-54.50000002019806","-15.300000086426735","73.19999997707782"
"2018-06-01","Cogent Communications","[174]","130","-34.4999999506399","-23.299999942537397","59.90000005112961"
"2018-06-02","Cogent Communications","[174]","40","-85.09999996749684","-51.099999982398","-47.90000000502914"
"2018-06-03","Cogent Communications","[174]","6","-7.800000002898798","37.399999997578504","116.99999999999994"
"2018-06-04","Cogent Communications","[174]","48","-58.49999999996362","-37.99999999999997","8.299999992363155"
"2018-06-05","Cogent Communications","[174]","68","-59.89999997837003","-49.59999999718275","-32.40000001096632"
"2018-06-06","Cogent Communications","[174]","136","-68.80000000091968","-52.300000005736365","-20.300000005590846"
"2018-06-07","Cogent Communications","[174]","88","-26.500000047235517","-2.8000000747852027","9.999999951105565"
"2018-05-22","Comcast Cable Communications, LLC","[7922]","488","-17.300000006798655","2.8999999922234565","30.199999993783422"
"2018-05-23","Comcast Cable Communications, LLC","[7922]","2666","-23.399999994580867","-1.4000000846863259","44.600000002857996"
"2018-05-24","Comcast Cable Communications, LLC","[54787, 7922]","2049","-20.70000011008233","6.099999993108213","50.09999999310821"
"2018-05-25","Comcast Cable Communications, LLC","[33651, 7922, 54787]","2338","-19.300000011753582","-1.2000000000189175","29.799999999981083"
"2018-05-26","Comcast Cable Communications, LLC","[7922]","1217","-27.000000055879354","-6.000000014901161","28.099999964237213"
"2018-05-27","Comcast Cable Communications, LLC","[7922]","1026","-28.899999996763654","0.9999999999997726","36.10000002384186"
"2018-05-28","Comcast Cable Communications, LLC","[7922]","1252","-26.89999994059326","-1.999999940395469","33.000000059604645"
"2018-05-29","Comcast Cable Communications, LLC","[7922]","2590","-19.099999975878745","0.20000001159496605","39.200000011594966"
"2018-05-30","Comcast Cable Communications, LLC","[54787, 7922]","3286","-20.80000002682391","3.9000001586955477","51.2000000188109"
"2018-05-31","Comcast Cable Communications, LLC","[33657, 7922, 54787]","2575","-24.800000023788016","1.1999999228864908","41.29999997653067"
"2018-06-01","Comcast Cable Communications, LLC","[7922]","2135","-27.999999950639904","-0.2999999509193003","47.7000000490807"
"2018-06-02","Comcast Cable Communications, LLC","[7922]","1221","-26.79999999469146","-6.6000000215135515","40.20000000530854"
"2018-06-03","Comcast Cable Communications, LLC","[7922]","1586","-31.200000001117644","-9.60000000108272","36.499999998486544"
"2018-06-04","Comcast Cable Communications, LLC","[7922]","2122","-25.79999999748543","0.40000002458691597","45.00000016391277"
"2018-06-05","Comcast Cable Communications, LLC","[33657, 7922, 54787]","1962","-28.199999997013947","0.20000000949949026","48.100000003003515"
"2018-06-06","Comcast Cable Communications, LLC","[7922]","2059","-30.999999988125637","-3.800000064074993","32.999999994412065"
"2018-06-07","Comcast Cable Communications, LLC","[7922]","1305","-22.500000047557478","3.7999999476596713","55.899999977555126"
"2018-05-22","Cox Communications Inc.","[22773]","119","-10.600000005069887","0.10000000474974513","71.80000003427267"
"2018-05-23","Cox Communications Inc.","[22773]","470","-26.39999999155407","1.399999925371958","44.800000000122964"
"2018-05-24","Cox Communications Inc.","[22773]","265","-23.799999968148768","4.1999999871477485","41.30000004079193"
"2018-05-25","Cox Communications Inc.","[22773]","389","-32.800000023860775","-1.6000000005078618","39.80000005958573"
"2018-05-26","Cox Communications Inc.","[22773]","125","-9.000000000000114","16.0","67.40000000409782"
"2018-05-27","Cox Communications Inc.","[22773]","86","-16.599999994039536","32.0","52.0"
"2018-05-28","Cox Communications Inc.","[22773]","91","-28.999999970197678","30.000000059604645","95.20000010356307"
"2018-05-29","Cox Communications Inc.","[22773]","356","-30.799999988405034","-3.999999988536729","34.600000010868825"
"2018-05-30","Cox Communications Inc.","[22773]","347","-20.499999940397174","0.999999999996362","50.99999999999818"
"2018-05-31","Cox Communications Inc.","[22773]","343","-23.3000002335757","-5.700000023469329","30.29999997653067"
"2018-06-01","Cox Communications Inc.","[22773]","531","-36.60000005038455","-11.2999999509193","29.100000043399632"
"2018-06-02","Cox Communications Inc.","[22773]","212","-34.20000005280599","-7.099999995261896","33.20000000530854"
"2018-06-03","Cox Communications Inc.","[22773]","221","-20.099999997764883","6.099999999751105","58.99999999999994"
"2018-06-04","Cox Communications Inc.","[22773]","409","-28.299999999813735","-3.500000102445483","54.6000000834465"
"2018-06-05","Cox Communications Inc.","[22773]","489","-31.200000012177043","-12.499999997089617","26.700000002165325"
"2018-06-06","Cox Communications Inc.","[22773]","517","-3.0000000055878786","34.99999999440479","49.999999994412065"
"2018-06-07","Cox Communications Inc.","[22773]","247","-27.400000046327477","-8.400000047458889","29.39999995258404"
"2018-05-22","Level 3 Parent, LLC","[3356, 3549]","85","-18.899999972898513","4.899999992828725","26.89999999347492"
"2018-05-23","Level 3 Parent, LLC","[3549, 3356]","516","-39.000000007945346","-23.4000000001231","3.2000000173866283"
"2018-05-24","Level 3 Parent, LLC","[3356, 3549]","560","-42.2000000262633","-20.600000010745134","60.49999999231659"
"2018-05-25","Level 3 Parent, LLC","[3356, 3549, 30686]","376","-37.8000000027896","-14.99999999987267","14.599999999518332"
"2018-05-26","Level 3 Parent, LLC","[3549]","70","-30.80000001192093","-0.5999999642372131","30.40000021457672"
"2018-05-27","Level 3 Parent, LLC","[3549]","53","-25.30000001192093","0.30000030994415283","20.599999845027924"
"2018-05-28","Level 3 Parent, LLC","[3549, 3356]","80","-60.3999999165535","-24.100000083446503","52.20000006206101"
"2018-05-29","Level 3 Parent, LLC","[3549, 3356]","746","-40.60000003664754","-22.599999996600673","11.100000032456592"
"2018-05-30","Level 3 Parent, LLC","[3356, 3549]","529","-37.90000002226043","-18.000000008383722","17.800000004002868"
"2018-05-31","Level 3 Parent, LLC","[3356, 3549]","574","-44.10000005736947","-26.800000023285975","19.700000004377216"
"2018-06-01","Level 3 Parent, LLC","[3356, 3549]","736","-41.39999995823018","-12.199999946460593","26.000000048952643"
"2018-06-02","Level 3 Parent, LLC","[3356, 3549]","65","-45.8999999682419","-9.69999999506399","169.79999999934807"
"2018-06-03","Level 3 Parent, LLC","[3549, 3356]","52","-51.69999998528516","-33.69999994523829","-1.2000000022817972"
"2018-06-04","Level 3 Parent, LLC","[3356, 10753, 3549]","342","-33.29999999719439","-11.400000005960464","40.99999997392297"
"2018-06-05","Level 3 Parent, LLC","[3549, 3356]","580","-34.399999989545904","-5.699999965145253","28.100000003007608"
"2018-06-06","Level 3 Parent, LLC","[3549, 3356]","604","-45.400000002700835","-32.30000002076849","-2.5000000023283064"
"2018-06-07","Level 3 Parent, LLC","[3549, 3356]","731","-31.700000047741923","-25.20000004733447","14.099999953003135"
"2018-05-22","MCI Communications Services, Inc. d/b/a Verizon Business","[701]","404","-18.500000012863893","-8.000000001629815","-5.300000004353933"
"2018-05-23","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828, 7046]","554","-36.499999946478056","-17.600000000122265","23.399999999819556"
"2018-05-24","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701, 15133]","492","-38.90000000689179","-21.79999998677522","16.099999993108213"
"2018-05-25","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","448","-28.299999973569356","-2.7000000090993126","36.200000005010224"
"2018-05-26","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","359","-57.0","-33.89999997615814","-5.000000000010914"
"2018-05-27","MCI Communications Services, Inc. d/b/a Verizon Business","[701]","311","-44.4000000199303","-21.000000000000114","13.800000001385342"
"2018-05-28","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","282","-38.99999994039541","-21.999999940395355","22.20000006305054"
"2018-05-29","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","469","-30.799999988405034","-6.799999988405034","60.70000000181608"
"2018-05-30","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","941","-33.000000000001705","-12.40000000069449","30.99999999999841"
"2018-05-31","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701, 7046]","623","-36.80000002350425","-12.700000023469329","52.99999997441773"
"2018-06-01","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701, 7014]","449","-42.69999995085527","-24.99999995090718","15.400000049083928"
"2018-06-02","MCI Communications Services, Inc. d/b/a Verizon Business","[701]","224","-56.99999998277053","-35.79999999469146","10.200000005308539"
"2018-06-03","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","454","-39.00000000000006","-11.99999999999983","49.499999997497014"
"2018-06-04","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","522","-36.10000013746321","-16.80000000019936","38.0000000060536"
"2018-06-05","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","777","-36.799999987124465","-18.899999996847328","14.100000003003402"
"2018-06-06","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","736","-48.999999882653356","-26.000000005587935","6.9999999944120646"
"2018-06-07","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828]","463","-37.300000025425106","-14.800000048126094","36.59999995259568"
"2018-05-22","Qwest Communications Company, LLC","[209]","98","-8.800000010523945","20.29999998921994","68.09999997494742"
"2018-05-23","Qwest Communications Company, LLC","[209]","487","-15.600000002450543","27.200000051379902","241.4000000389933"
"2018-05-24","Qwest Communications Company, LLC","[209]","431","-40.8000000170432","-1.8999999156221747","49.09999999310821"
"2018-05-25","Qwest Communications Company, LLC","[209]","523","-18.200000017714046","-3.200000003744208","25.40000001637236"
"2018-05-26","Qwest Communications Company, LLC","[209]","278","-76.10000000149012","-43.00000000093132","236.90000008046627"
"2018-05-27","Qwest Communications Company, LLC","[209]","580","-16.900000052526593","-0.9999998211860657","26.200000073760748"
"2018-05-28","Qwest Communications Company, LLC","[209]","184","-17.200000112876296","3.1000000946223736","22.000000059604645"
"2018-05-29","Qwest Communications Company, LLC","[209]","605","-8.199999994365498","21.299999934853986","58.70000019785948"
"2018-05-30","Qwest Communications Company, LLC","[209]","496","-28.200000027196438","18.899999939834743","54.99999999999818"
"2018-05-31","Qwest Communications Company, LLC","[209]","405","-27.6999999769032","12.299999973038211","94.29999997653067"
"2018-06-01","Qwest Communications Company, LLC","[209]","280","-21.299999963957816","15.700000047218055","67.50000004831236"
"2018-06-02","Qwest Communications Company, LLC","[209]","229","-11.799999994691461","44.39999995613471","120.69999999948777"
"2018-06-03","Qwest Communications Company, LLC","[209]","224","-19.400000022724328","35.69999995827669","118.40000000316644"
"2018-06-04","Qwest Communications Company, LLC","[209]","296","-31.999999884516","-11.99999986588955","32.19999995827675"
"2018-06-05","Qwest Communications Company, LLC","[209]","380","-29.299999980139546","18.10000000114087","72.30500000301981"
"2018-06-06","Qwest Communications Company, LLC","[209]","289","-27.999999932944775","3.299999993032543","74.10000008530915"
"2018-06-07","Qwest Communications Company, LLC","[209]","215","-9.400000039022416","33.79999991739169","92.59999997448176"
"2018-05-22","Time Warner Cable Internet LLC","[20001, 12271, 10796, 11351, 11427]","118","2.3999999975785613","33.79999999282887","134.79999999282882"
"2018-05-23","Time Warner Cable Internet LLC","[11351, 11426, 12271, 10796, 11427, 20001]","652","-35.09999988091295","-14.299999940703856","23.399999999877764"
"2018-05-24","Time Warner Cable Internet LLC","[11426, 20001, 11427, 12271, 10796]","929","-25.70000002742745","5.599999974947423","46.29999998724088"
"2018-05-25","Time Warner Cable Internet LLC","[11351, 12271, 20001, 11427, 10796]","530","-13.600000032056414","8.399999965149618","43.79999999998108"
"2018-05-26","Time Warner Cable Internet LLC","[11351, 11427, 12271, 11426, 20001, 10796]","368","-16.499999970197678","25.50000000029104","72.0"
"2018-05-27","Time Warner Cable Internet LLC","[11427, 12271, 11351, 11426, 20001, 10796]","227","-32.000000013038516","-20.399999927729368","33.80000000000291"
"2018-05-28","Time Warner Cable Internet LLC","[10796, 11427, 20001, 11426, 12271, 11351]","290","-31.899999940709677","-14.999999950174242","50.90000009490177"
"2018-05-29","Time Warner Cable Internet LLC","[12271, 20001, 11426, 10796, 11351, 11427]","509","-31.099999992875382","-0.29999998514540493","44.90000000805594"
"2018-05-30","Time Warner Cable Internet LLC","[11427, 20001, 11426, 11351, 10796, 12271]","331","-27.50000000122418","-3.699999998558269","65.99999990686592"
"2018-05-31","Time Warner Cable Internet LLC","[11351, 12271, 11426, 20001, 10796, 11427]","662","-20.700000023469784","10.299999976530671","51.699999981792644"
"2018-06-01","Time Warner Cable Internet LLC","[10796, 11426, 11351, 12271, 20001, 11427]","531","-37.949999950919334","-9.299999859649688","39.60000004735775"
"2018-06-02","Time Warner Cable Internet LLC","[12271, 20001, 11427, 10796, 11351, 11426]","407","-27.79999999469146","-1.0999999946932348","62.20000000530854"
"2018-06-03","Time Warner Cable Internet LLC","[11351, 20001, 11427, 11426, 12271, 10796]","342","-20.399999953806457","13.100000007543656","70.20000000025897"
"2018-06-04","Time Warner Cable Internet LLC","[20001, 11427, 11351, 12271, 11955, 11426, 10796]","570","-38.0","-6.699999963399023","35.099999999278225"
"2018-06-05","Time Warner Cable Internet LLC","[7843, 11426, 11427, 20001, 11351, 10796, 12271]","812","-28.09999999703905","20.000000033178367","116.10000000300397"
"2018-06-06","Time Warner Cable Internet LLC","[11426, 11427, 20001, 10796, 12271, 11351]","663","-31.805000005587885","3.9999999944120646","45.999999994412065"
"2018-06-07","Time Warner Cable Internet LLC","[11351, 20001, 11426, 11427, 10796, 12271]","317","-8.200000043871114","20.499999953244696","55.79999995260005"
