"dt","geocodeisp","geocodeasns","count","pct_25_norm","pct_50_norm","pct_75_norm"
"2018-05-22","AT&T Services, Inc.","[7018]","1136","-240.79999998683343","-181.70000003190944","100.59999998885905"
"2018-05-23","AT&T Services, Inc.","[7018, 14267]","2494","-87.19999997993","101.69999997015111","376.2000000078842"
"2018-05-24","AT&T Services, Inc.","[7018]","2938","-132.10000017145646","67.29999980895812","388.89999983645976"
"2018-05-25","AT&T Services, Inc.","[7018]","2745","-95.59999991468976","60.200000094249845","328.5000000905711"
"2018-05-26","AT&T Services, Inc.","[7018]","1764","-154.80000005476165","-57.20000006840564","174.49999994644895"
"2018-05-27","AT&T Services, Inc.","[7018]","1075","-138.28337480364644","19.29999977601983","442.9999997764826"
"2018-05-28","AT&T Services, Inc.","[7018]","1737","-106.19999998016283","11.29999989643693","343.19999997708965"
"2018-05-29","AT&T Services, Inc.","[7018]","1660","-31.20000002952287","255.99999993294483","717.000000001397"
"2018-05-30","AT&T Services, Inc.","[21986, 46880, 7018]","3645","-115.50000001303849","34.99999988119819","382.49999987741467"
"2018-05-31","AT&T Services, Inc.","[7018]","2670","-45.9000000953674","107.49999990440122","436.19999990465476"
"2018-06-01","AT&T Services, Inc.","[7018]","3334","-109.80000020936131","17.199999671429396","233.09999967023032"
"2018-06-02","AT&T Services, Inc.","[7018]","1346","-139.99999997252417","11.000000000001819","290.60000001988556"
"2018-06-03","AT&T Services, Inc.","[7018]","1717","-115.69999990751967","70.50000012666032","363.50000012665987"
"2018-06-04","AT&T Services, Inc.","[7018, 12240]","4632","-87.60000007168856","92.09999989252537","526.1999999174805"
"2018-06-05","AT&T Services, Inc.","[12240, 7018]","3242","-121.5250000003434","-42.62499999627468","120.07499998994174"
"2018-05-22","Allied Telecom Group, LLC","[22925]","554","-67.59999999665888","133.2000000020489","430.70000000990694"
"2018-05-23","Allied Telecom Group, LLC","[22925]","1983","-191.69999998848652","-104.29999999178108","51.900000005727634"
"2018-05-24","Allied Telecom Group, LLC","[22925]","873","-71.00000017974523","90.19999980786818","182.89999980898577"
"2018-05-29","Allied Telecom Group, LLC","[22925]","1006","-184.20000013709063","-122.39999987930054","-18.600000187754574"
"2018-05-31","Allied Telecom Group, LLC","[22925]","603","-174.50000008847562","-123.90000007161868","-10.20000014267859"
"2018-05-22","Charter Communications","[20115, 33588]","582","144.30000000068685","414.29999999856227","1030.6999999284162"
"2018-05-23","Charter Communications","[33588, 20115]","2195","-19.60999999147839","306.20000000817527","672.4000000085653"
"2018-05-24","Charter Communications","[20115, 33588]","1033","-105.50000019073192","198.19999980926517","551.699999805598"
"2018-05-25","Charter Communications","[33588, 20115]","1429","5.600000091362745","350.20000008807983","790.2000000852922"
"2018-05-26","Charter Communications","[33588, 20115]","766","-53.94000005476482","191.2000000011176","526.2999999104068"
"2018-05-27","Charter Communications","[33588, 20115]","770","42.59999933838844","313.4999996908009","694.199999776511"
"2018-05-28","Charter Communications","[33588, 20115]","1303","69.37499997708801","321.11499997709325","776.4999999762949"
"2018-05-29","Charter Communications","[20115, 33588]","2142","-154.39999999856803","114.6999999954715","663.0402146108638"
"2018-05-30","Charter Communications","[20115, 33588]","1369","48.399999797344236","305.0999998809275","681.9999998807907"
"2018-05-31","Charter Communications","[20115, 33588]","1192","-46.9000000953674","259.09999990463257","620.0999999046326"
"2018-06-01","Charter Communications","[20115, 33588]","2612","-110.90000031981617","22.999999695457518","360.09999946691096"
"2018-06-02","Charter Communications","[33588, 20115]","1894","-116.20000076293763","150.65000000000327","564.7000001966971"
"2018-06-03","Charter Communications","[33588, 20115]","2289","-38.499999878695235","170.30000013113022","528.5000001313165"
"2018-06-04","Charter Communications","[33588, 20115]","2785","-96.60000007716008","62.200000043958426","399.500000057742"
"2018-06-05","Charter Communications","[33588, 20115]","2634","-122.62500000000088","82.33500000002098","420.674999948591"
"2018-05-24","Cogent Communications","[174]","530","-182.90000043064353","-124.0000001788139","-5.300000144168706"
"2018-05-30","Cogent Communications","[174]","535","-171.10000012004454","-115.00000011920926","-5.200000119169971"
"2018-05-31","Cogent Communications","[174]","677","-130.49999997764823","-66.99999981373546","100.29999990348009"
"2018-06-01","Cogent Communications","[174]","628","-127.20000032277312","-13.600000325823203","230.09999966598116"
"2018-06-05","Cogent Communications","[174]","530","-171.32499999921126","-142.32500001695004","-64.02499999954304"
"2018-05-22","Comcast Cable Communications, LLC","[7922]","2664","-171.09999999409774","-61.80000001221197","192.20000000315486"
"2018-05-23","Comcast Cable Communications, LLC","[7922]","16121","-137.90000000153668","-2.1999998961109952","246.29999986547045"
"2018-05-24","Comcast Cable Communications, LLC","[54787, 33657, 7922]","8643","-155.40000018675343","-31.50000019534488","226.99999988824132"
"2018-05-25","Comcast Cable Communications, LLC","[33490, 33651, 33657, 54787, 7922]","10442","-159.29999991476507","-27.599999913945794","193.60000011511147"
"2018-05-26","Comcast Cable Communications, LLC","[7922]","4369","-138.60000005479378","18.799999945258605","280.19999994523823"
"2018-05-27","Comcast Cable Communications, LLC","[7922]","4373","-161.7317189671012","-12.700000225042459","311.6999997762905"
"2018-05-28","Comcast Cable Communications, LLC","[7922]","4604","-159.89999997522682","-34.899999969638884","163.40000009629875"
"2018-05-29","Comcast Cable Communications, LLC","[33657, 21508, 7922]","9316","-199.10000000079157","-19.1999999834224","276.1999999880791"
"2018-05-30","Comcast Cable Communications, LLC","[33657, 33659, 54787, 7922]","17107","-119.50000014901158","-7.10000015795228","206.99999988079068"
"2018-05-31","Comcast Cable Communications, LLC","[21508, 33657, 7922, 54787]","11210","-116.20000028796491","-17.90000009731736","206.59999991022053"
"2018-06-01","Comcast Cable Communications, LLC","[7922]","12268","-105.90000031515956","0.0","217.89999967142649"
"2018-06-02","Comcast Cable Communications, LLC","[7922]","5966","-169.99999999999818","-32.6999999983218","359.39999999897736"
"2018-06-03","Comcast Cable Communications, LLC","[7922]","8714","-137.39999986137263","-15.199999790638685","381.30000012461096"
"2018-06-04","Comcast Cable Communications, LLC","[33657, 33659, 7922]","10008","-113.30000008270144","-12.900000081572216","230.69999991729856"
"2018-06-05","Comcast Cable Communications, LLC","[33657, 7922]","6063","-124.72499999590215","-9.824999995413208","179.37499999994182"
"2018-05-23","Cox Communications Inc.","[22773]","1716","-144.30000001448207","-33.699999992677476","266.4000000085216"
"2018-05-24","Cox Communications Inc.","[22773]","734","-180.70000020973382","31.299999833107023","297.19999984651804"
"2018-05-25","Cox Communications Inc.","[22773]","1744","-64.39999991562217","-12.599999899975955","118.40000003762543"
"2018-05-29","Cox Communications Inc.","[22773]","1335","-169.39999989978963","4.908832507091631","329.80000000400474"
"2018-05-30","Cox Communications Inc.","[22773]","987","-102.50000009406355","66.59999984502795","396.9999998807906"
"2018-05-31","Cox Communications Inc.","[22773]","691","-6.19999995827672","176.59999988973144","420.1999998984393"
"2018-06-01","Cox Communications Inc.","[22773]","2595","-125.90000033378601","-36.50000039488077","141.0999996587634"
"2018-06-03","Cox Communications Inc.","[22773]","937","-104.69999987334086","132.20000013825484","487.7000001743436"
"2018-06-04","Cox Communications Inc.","[22773]","1338","-119.80000004405156","-6.200000058859587","317.29999991878867"
"2018-06-05","Cox Communications Inc.","[22773]","812","-104.42500002123413","34.47499999869618","292.7750000145752"
"2018-05-23","Level 3 Parent, LLC","[3549, 3356]","1382","-138.20000001578592","-8.999999990919605","286.40000001178123"
"2018-05-24","Level 3 Parent, LLC","[3549, 3356]","1931","-159.40000018477437","38.29999983310702","298.39999978709966"
"2018-05-25","Level 3 Parent, LLC","[3549, 3356, 30686]","1327","-113.09999996237457","86.4000000856322","291.60000008530915"
"2018-05-29","Level 3 Parent, LLC","[3356, 3549]","2431","-114.30000000388821","92.99999999068683","322.89999999641446"
"2018-05-30","Level 3 Parent, LLC","[3549, 3356]","1317","-86.60000009555367","77.1999998847023","348.9999998724088"
"2018-05-31","Level 3 Parent, LLC","[3356, 3549]","2217","-126.50000007869673","0.9999999236315773","219.39999981969598"
"2018-06-01","Level 3 Parent, LLC","[3356, 3549]","1659","-98.60000031068921","39.99999968800694","324.49999966775067"
"2018-06-04","Level 3 Parent, LLC","[3549, 3356, 10753]","1171","-55.90000009397045","157.69999992335215","471.39999991850345"
"2018-06-05","Level 3 Parent, LLC","[3549, 3356]","1291","-84.42500023543832","228.07499999739233","923.4750000088243"
"2018-05-22","MCI Communications Services, Inc. d/b/a Verizon Business","[701]","1404","-36.99999996932456","74.39999996678671","161.5999999976484"
"2018-05-23","MCI Communications Services, Inc. d/b/a Verizon Business","[7046, 701, 2828]","2813","-183.59999998938292","-45.000000012340024","172.60000000533182"
"2018-05-24","MCI Communications Services, Inc. d/b/a Verizon Business","[15133, 2828, 701]","1887","-226.70000024093312","-129.30000018398275","91.1999998118263"
"2018-05-25","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","1891","-159.099999917089","13.700000097742304","336.60000008530915"
"2018-05-26","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","1252","-214.9000000572414","-59.800000046379864","113.09999995864928"
"2018-05-27","MCI Communications Services, Inc. d/b/a Verizon Business","[701]","809","-206.00000022351742","-75.00000022352106","144.99999979138374"
"2018-05-28","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","889","-225.90000001946464","-178.9000000571832","29.399999977613334"
"2018-05-29","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","1407","-256.899999999925","-85.9999999548308","181.09999999972212"
"2018-05-30","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","3046","-195.00000011920915","-97.10000012133966","27.300000017508893"
"2018-05-31","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701, 7046]","3247","-142.20000009681095","-33.40000008046624","188.19999990574436"
"2018-06-01","MCI Communications Services, Inc. d/b/a Verizon Business","[701, 2828, 7014]","1891","-166.80000032647513","-77.90000033855904","83.19999967352487"
"2018-06-02","MCI Communications Services, Inc. d/b/a Verizon Business","[701]","837","-220.10000005364236","-128.0000000298005","83.40000000095642"
"2018-06-03","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","1663","-219.19999986857874","-141.29999978467822","73.50000012593227"
"2018-06-04","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","2091","-188.50000008387724","-91.0000002477318","149.0999999223277"
"2018-06-05","MCI Communications Services, Inc. d/b/a Verizon Business","[2828, 701]","2720","-186.22500000661236","-83.42499999876597","151.3749999632128"
"2018-05-23","Qwest Communications Company, LLC","[209]","1418","-105.09999999158026","102.59999995469116","639.3999999563675"
"2018-05-24","Qwest Communications Company, LLC","[209]","2079","-147.8000002186745","59.199999809265165","492.3999998047948"
